Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved
0,19.67,0.21,1.0,1,Materials,Black,0.29,1.0,1.0,11.0,0.0,ByBirth,80.0,99,1
0,41.33,1.0,1.0,1,ConsumerDiscretionary,Asian,2.25,1.0,0.0,0.0,1.0,ByBirth,0.0,300,1
1,43.08,0.375,0.0,0,Energy,White,0.375,1.0,1.0,8.0,1.0,ByBirth,300.0,162,1
1,16.25,0.0,0.0,0,ConsumerStaples,White,0.25,0.0,0.0,0.0,0.0,ByBirth,60.0,0,0
1,28.92,15.0,1.0,1,Energy,Black,5.335,1.0,1.0,11.0,0.0,ByBirth,0.0,2283,1
1,56.75,12.25,1.0,1,CommunicationServices,White,1.25,1.0,,4.0,1.0,ByBirth,200.0,0,1
1,32.67,5.5,1.0,1,Materials,Black,5.5,1.0,1.0,12.0,1.0,ByBirth,408.0,1000,1
1,28.25,0.875,1.0,1,CommunicationServices,White,0.96,1.0,1.0,3.0,1.0,ByBirth,396.0,0,1
1,24.5,12.75,1.0,1,Energy,Asian,4.75,1.0,1.0,2.0,0.0,ByBirth,73.0,444,1
0,30.25,5.5,1.0,1,Financials,White,5.5,0.0,0.0,0.0,1.0,ByOtherMeans,100.0,0,0
1,39.0,5.0,1.0,1,InformationTechnology,White,3.5,1.0,1.0,10.0,1.0,ByBirth,0.0,0,1
1,53.92,9.625,1.0,1,Education,White,8.665,1.0,1.0,5.0,0.0,ByBirth,0.0,0,1
1,30.83,0.0,1.0,1,Industrials,White,1.25,1.0,1.0,1.0,0.0,ByBirth,202.0,0,1
0,49.83,13.585,1.0,1,Financials,Black,8.5,1.0,0.0,0.0,1.0,,0.0,0,1
1,35.17,25.125,1.0,1,Utilities,Black,1.625,1.0,1.0,1.0,1.0,ByBirth,515.0,500,1
1,20.08,0.125,1.0,1,Materials,White,1.0,0.0,1.0,1.0,0.0,ByBirth,240.0,768,1
0,24.5,1.04,0.0,0,Healthcare,Latino,0.5,1.0,1.0,3.0,0.0,ByBirth,180.0,147,0
0,36.0,1.0,1.0,1,Energy,,2.0,1.0,,11.0,0.0,ByBirth,0.0,456,1
0,51.92,6.5,1.0,1,ConsumerDiscretionary,Asian,3.085,0.0,0.0,0.0,1.0,ByBirth,73.0,0,0
1,57.83,7.04,1.0,1,CommunicationServices,White,14.0,1.0,1.0,6.0,1.0,ByBirth,360.0,1332,1
0,32.17,1.46,1.0,1,Industrials,White,1.085,1.0,1.0,16.0,0.0,ByBirth,120.0,2079,1
1,20.0,0.0,1.0,1,Real Estate,White,0.5,0.0,0.0,0.0,0.0,ByBirth,144.0,0,0
1,28.46,0.04,0.0,0,Real Estate,White,4.25,0.0,0.0,0.0,1.0,ByBirth,460.0,0,0
0,23.58,11.5,0.0,0,Financials,Black,3.0,0.0,0.0,0.0,1.0,ByBirth,20.0,16,0
1,41.0,0.04,1.0,1,Education,White,0.04,0.0,1.0,1.0,0.0,ByOtherMeans,560.0,0,1
0,27.67,1.5,1.0,1,CommunicationServices,White,2.0,1.0,0.0,0.0,0.0,ByOtherMeans,368.0,0,0
1,35.75,2.415,1.0,1,Industrials,White,0.125,0.0,1.0,2.0,0.0,ByBirth,220.0,1,0
0,22.67,0.75,1.0,1,Energy,White,2.0,0.0,1.0,2.0,1.0,ByBirth,200.0,394,0
1,48.08,6.04,1.0,1,Financials,White,0.04,0.0,0.0,0.0,0.0,ByBirth,0.0,2690,1
1,39.92,6.21,1.0,1,Materials,White,0.04,1.0,1.0,1.0,0.0,ByBirth,200.0,300,1
1,51.33,10.0,1.0,1,ConsumerDiscretionary,Asian,0.0,1.0,1.0,11.0,0.0,ByBirth,0.0,1249,1
1,23.75,12.0,1.0,1,Energy,White,2.085,0.0,0.0,0.0,0.0,ByOtherMeans,80.0,0,0
0,24.75,3.0,1.0,1,Materials,Black,1.835,1.0,1.0,19.0,0.0,ByBirth,0.0,500,1
1,36.17,18.125,1.0,1,Industrials,White,0.085,0.0,0.0,0.0,0.0,ByBirth,320.0,3552,0
1,27.83,4.0,0.0,0,ConsumerDiscretionary,Black,5.75,1.0,1.0,2.0,1.0,ByBirth,75.0,0,0
0,25.75,0.5,1.0,1,Energy,Black,0.875,1.0,0.0,0.0,1.0,ByBirth,491.0,0,1
1,31.67,16.165,1.0,1,Real Estate,White,3.0,1.0,1.0,9.0,0.0,ByBirth,250.0,730,1
1,42.25,1.75,0.0,0,Energy,White,0.0,0.0,0.0,0.0,1.0,ByBirth,150.0,1,0
1,48.25,25.085,1.0,1,Industrials,White,1.75,1.0,1.0,3.0,0.0,ByBirth,120.0,14,1
0,37.75,5.5,1.0,1,Materials,White,0.125,1.0,0.0,0.0,1.0,ByBirth,228.0,0,1
1,13.75,4.0,0.0,0,Industrials,White,1.75,1.0,1.0,2.0,1.0,ByBirth,120.0,1000,1
0,16.33,0.21,1.0,1,ConsumerStaples,White,0.125,0.0,0.0,0.0,0.0,ByBirth,200.0,1,0
1,20.08,0.25,1.0,1,Materials,White,0.125,0.0,0.0,0.0,0.0,ByBirth,200.0,0,0
1,49.17,2.29,1.0,1,Healthcare,Latino,0.29,0.0,0.0,0.0,0.0,ByBirth,200.0,3,0
0,16.92,0.5,1.0,1,ConsumerDiscretionary,White,0.165,0.0,1.0,6.0,1.0,ByBirth,240.0,35,0
0,18.83,9.54,1.0,1,ConsumerStaples,White,0.085,1.0,0.0,0.0,0.0,ByBirth,100.0,0,1
1,24.08,9.0,1.0,1,ConsumerStaples,White,0.25,0.0,0.0,0.0,1.0,ByBirth,0.0,0,0
1,20.67,0.835,0.0,0,Energy,White,2.0,0.0,0.0,0.0,1.0,ByOtherMeans,240.0,0,0
1,23.58,0.46,0.0,0,Industrials,White,2.625,1.0,1.0,6.0,1.0,ByBirth,208.0,347,0
1,32.33,3.5,1.0,1,Financials,White,0.5,0.0,0.0,0.0,1.0,ByBirth,232.0,0,0
1,34.08,6.5,1.0,1,ConsumerStaples,White,0.125,1.0,,0.0,1.0,ByBirth,443.0,0,0
1,21.0,3.0,0.0,0,Real Estate,White,1.085,1.0,1.0,8.0,1.0,ByBirth,160.0,1,1
0,47.42,8.0,1.0,1,Education,Asian,6.5,1.0,1.0,6.0,0.0,ByBirth,375.0,51100,1
1,48.33,12.0,1.0,1,CommunicationServices,White,16.0,1.0,0.0,0.0,0.0,ByOtherMeans,110.0,0,1
1,40.58,3.29,1.0,1,CommunicationServices,White,3.5,0.0,0.0,0.0,1.0,ByOtherMeans,400.0,0,0
0,25.0,0.875,1.0,1,Utilities,Black,1.04,1.0,0.0,0.0,1.0,ByBirth,160.0,5860,1
0,24.33,2.5,0.0,0,ConsumerDiscretionary,Asian,4.5,0.0,0.0,0.0,0.0,ByBirth,200.0,456,0
1,28.67,9.335,1.0,1,Materials,Black,5.665,1.0,1.0,6.0,0.0,ByBirth,381.0,168,1
1,19.42,6.5,1.0,1,Industrials,Black,1.46,1.0,1.0,7.0,0.0,ByBirth,80.0,2954,1
1,33.17,3.04,0.0,0,Energy,Black,2.04,1.0,1.0,1.0,1.0,ByBirth,180.0,18027,1
1,18.83,0.0,1.0,1,Materials,White,0.665,0.0,0.0,0.0,0.0,ByBirth,160.0,1,0
0,22.58,10.75,1.0,1,Materials,White,0.415,1.0,1.0,5.0,1.0,ByBirth,0.0,560,1
1,48.75,8.5,1.0,1,Energy,Black,12.5,1.0,1.0,9.0,0.0,,181.0,1655,1
1,52.5,6.5,1.0,1,Financials,White,6.29,1.0,1.0,15.0,0.0,ByBirth,0.0,11202,1
0,21.5,6.0,1.0,1,ConsumerStaples,White,2.5,1.0,1.0,3.0,0.0,ByBirth,80.0,918,1
1,18.83,3.54,0.0,0,Healthcare,Latino,0.0,0.0,0.0,0.0,1.0,ByBirth,180.0,1,0
0,55.75,7.08,1.0,1,Financials,Black,6.75,1.0,1.0,3.0,1.0,ByBirth,100.0,50,0
1,18.25,0.165,1.0,1,Real Estate,White,0.25,0.0,0.0,0.0,1.0,ByOtherMeans,280.0,0,0
1,35.58,0.75,1.0,1,Financials,White,1.5,0.0,0.0,0.0,1.0,ByBirth,231.0,0,0
1,27.83,1.5,1.0,1,Industrials,White,2.25,0.0,1.0,1.0,1.0,ByBirth,100.0,3,0
0,28.58,1.665,1.0,1,Materials,White,2.415,1.0,0.0,0.0,1.0,ByBirth,440.0,0,0
1,34.08,0.08,0.0,0,CommunicationServices,Asian,0.04,1.0,1.0,1.0,1.0,ByBirth,280.0,2000,1
0,60.92,5.0,1.0,1,ConsumerStaples,White,4.0,1.0,1.0,4.0,0.0,ByBirth,0.0,99,1
0,20.75,10.335,1.0,1,InformationTechnology,Black,0.335,1.0,1.0,1.0,1.0,ByBirth,80.0,50,1
1,39.83,0.5,1.0,1,CommunicationServices,White,0.25,1.0,0.0,0.0,0.0,ByOtherMeans,288.0,0,0
1,23.92,1.5,1.0,1,Real Estate,Black,1.875,1.0,1.0,6.0,0.0,ByBirth,200.0,327,1
0,30.42,1.375,1.0,1,Industrials,Black,0.04,0.0,1.0,3.0,0.0,ByBirth,0.0,33,0
1,48.75,26.335,0.0,0,Healthcare,Latino,0.0,1.0,0.0,0.0,1.0,ByBirth,0.0,0,0
0,25.0,11.0,0.0,0,ConsumerStaples,White,4.5,1.0,0.0,0.0,0.0,ByBirth,120.0,0,0
0,23.25,5.875,1.0,1,Materials,White,3.17,1.0,1.0,10.0,0.0,ByBirth,120.0,245,1
1,47.67,0.29,1.0,1,,Asian,15.0,1.0,1.0,20.0,0.0,ByBirth,0.0,15000,1
0,24.5,1.75,0.0,0,Energy,White,0.165,0.0,0.0,0.0,0.0,ByBirth,132.0,0,0
1,62.75,7.0,1.0,1,Education,Other,0.0,0.0,0.0,0.0,0.0,ByBirth,0.0,12,0
1,54.33,6.75,1.0,1,Energy,Black,2.625,1.0,1.0,11.0,1.0,ByBirth,0.0,284,1
0,30.5,6.5,1.0,1,Energy,Asian,4.0,1.0,1.0,7.0,1.0,ByBirth,0.0,3065,1
1,30.75,1.585,1.0,1,Real Estate,White,0.585,0.0,0.0,0.0,1.0,ByOtherMeans,0.0,0,0
1,34.42,1.335,1.0,1,ConsumerDiscretionary,Asian,0.125,0.0,0.0,0.0,1.0,ByBirth,440.0,4500,0
1,29.92,1.835,,1,Energy,Black,4.335,1.0,0.0,0.0,0.0,ByBirth,260.0,200,1
1,34.0,4.5,1.0,1,ConsumerStaples,White,1.0,,0.0,0.0,1.0,ByBirth,240.0,0,0
0,45.0,4.585,1.0,1,Financials,Black,1.0,0.0,0.0,0.0,1.0,ByOtherMeans,240.0,0,0
0,16.0,0.165,1.0,1,ConsumerStaples,White,1.0,0.0,1.0,2.0,1.0,ByBirth,320.0,1,0
1,34.0,5.5,0.0,0,Energy,White,1.5,0.0,0.0,0.0,1.0,ByBirth,60.0,0,0
1,26.67,2.71,0.0,0,InformationTechnology,White,5.25,1.0,1.0,1.0,0.0,ByBirth,211.0,0,1
0,20.83,3.0,1.0,1,ConsumerStaples,White,0.04,1.0,0.0,0.0,0.0,ByBirth,100.0,0,1
1,17.58,10.0,1.0,1,Industrials,Black,0.165,0.0,,1.0,0.0,,120.0,1,0
1,25.67,12.5,1.0,1,InformationTechnology,White,1.21,1.0,1.0,67.0,1.0,ByBirth,140.0,258,1
1,23.92,0.665,1.0,1,Energy,White,0.165,0.0,0.0,0.0,0.0,ByBirth,100.0,0,1
0,37.33,2.5,1.0,1,ConsumerDiscretionary,Black,0.21,0.0,0.0,0.0,0.0,ByBirth,260.0,246,0
0,25.25,12.5,1.0,1,Real Estate,White,1.0,0.0,0.0,0.0,1.0,ByBirth,180.0,1062,0
1,39.17,1.625,1.0,1,Energy,White,1.5,1.0,1.0,10.0,0.0,ByBirth,186.0,4700,1
1,31.25,1.125,1.0,1,Healthcare,Latino,0.0,0.0,1.0,1.0,0.0,ByBirth,96.0,19,0
0,21.25,2.335,1.0,1,ConsumerDiscretionary,Asian,0.5,,1.0,4.0,0.0,ByOtherMeans,80.0,0,1
1,40.58,5.0,1.0,1,Energy,White,5.0,1.0,1.0,7.0,,ByBirth,0.0,3065,1
1,22.0,7.835,0.0,0,ConsumerDiscretionary,Asian,0.165,0.0,0.0,0.0,1.0,ByBirth,0.0,0,0
1,28.58,3.625,1.0,1,ConsumerStaples,White,0.25,0.0,0.0,0.0,1.0,ByBirth,100.0,0,0
1,37.75,7.0,1.0,1,Materials,Black,11.5,1.0,1.0,7.0,1.0,ByBirth,300.0,5,0
0,48.17,1.335,1.0,1,ConsumerDiscretionary,Other,0.335,0.0,0.0,0.0,0.0,ByBirth,0.0,120,0
0,25.33,2.085,1.0,1,Energy,Black,2.75,1.0,0.0,0.0,1.0,ByBirth,360.0,1,0
0,28.58,3.54,1.0,1,ConsumerDiscretionary,Asian,0.5,1.0,0.0,0.0,1.0,ByBirth,171.0,0,0
1,36.67,2.0,1.0,1,ConsumerDiscretionary,White,0.25,0.0,0.0,0.0,1.0,ByBirth,221.0,0,0
1,40.92,0.5,0.0,0,CommunicationServices,White,0.5,0.0,0.0,0.0,1.0,ByBirth,130.0,0,0
1,26.5,2.71,0.0,0,Energy,White,0.085,0.0,0.0,0.0,0.0,ByOtherMeans,80.0,0,0
1,25.92,0.875,1.0,1,Financials,White,0.375,0.0,1.0,2.0,1.0,ByBirth,174.0,3,0
1,22.17,2.25,1.0,1,ConsumerDiscretionary,White,0.125,0.0,0.0,0.0,0.0,ByBirth,160.0,10,0
0,23.42,0.79,0.0,0,,White,1.5,1.0,1.0,2.0,1.0,ByBirth,80.0,400,1
1,18.17,2.46,1.0,1,Energy,Other,0.96,0.0,1.0,2.0,1.0,ByBirth,160.0,587,0
1,21.83,1.54,1.0,1,Financials,White,0.085,0.0,0.0,0.0,1.0,ByBirth,356.0,0,0
0,18.92,9.0,1.0,1,ConsumerStaples,White,0.75,1.0,1.0,2.0,0.0,ByBirth,88.0,591,1
1,48.58,6.5,1.0,1,Materials,Black,6.0,1.0,0.0,0.0,1.0,ByBirth,350.0,0,1
1,29.83,2.04,0.0,0,Utilities,Black,0.04,0.0,0.0,0.0,0.0,ByBirth,128.0,1,0
1,23.58,1.79,1.0,1,Energy,White,0.54,0.0,0.0,0.0,1.0,ByBirth,136.0,1,0
1,34.75,15.0,1.0,1,Transport,Other,5.375,1.0,1.0,9.0,1.0,ByBirth,0.0,134,1
0,18.17,10.0,0.0,0,Materials,Black,0.165,0.0,0.0,0.0,0.0,ByBirth,340.0,0,0
0,25.58,0.0,1.0,1,Energy,White,0.0,0.0,0.0,0.0,0.0,Temporary,0.0,0,1
0,21.08,5.0,0.0,0,Healthcare,Latino,0.0,0.0,0.0,0.0,0.0,ByBirth,0.0,0,0
1,62.5,12.75,0.0,0,Energy,Black,5.0,1.0,0.0,0.0,0.0,ByBirth,112.0,0,0
0,27.58,3.0,1.0,1,CommunicationServices,White,2.79,0.0,1.0,1.0,1.0,ByBirth,280.0,10,0
1,42.08,1.04,1.0,1,Industrials,White,5.0,1.0,1.0,6.0,1.0,ByBirth,500.0,10000,1
1,22.5,11.5,0.0,0,CommunicationServices,White,1.5,0.0,0.0,0.0,1.0,ByBirth,0.0,4000,0
1,28.17,0.585,1.0,1,ConsumerStaples,White,0.04,0.0,0.0,0.0,0.0,ByBirth,260.0,1004,0
0,28.46,11.25,1.0,1,Healthcare,Latino,0.0,0.0,0.0,0.0,0.0,ByBirth,0.0,5200,0
0,28.46,1.5,1.0,1,Healthcare,Latino,0.0,0.0,1.0,2.0,1.0,ByBirth,200.0,105,0
1,28.46,4.0,1.0,1,Utilities,White,5.0,1.0,1.0,3.0,1.0,ByBirth,290.0,2279,1
0,38.75,1.5,1.0,1,Healthcare,Latino,0.0,0.0,0.0,0.0,0.0,ByBirth,76.0,0,0
1,33.58,0.335,0.0,0,InformationTechnology,White,0.085,0.0,0.0,0.0,0.0,ByBirth,180.0,0,0
0,19.58,0.665,1.0,1,Industrials,White,1.665,0.0,0.0,0.0,0.0,ByBirth,220.0,5,0
1,48.58,0.205,0.0,0,Financials,White,0.25,1.0,1.0,11.0,0.0,ByBirth,380.0,2732,1
1,27.67,2.0,1.0,1,Utilities,Black,1.0,1.0,1.0,4.0,0.0,ByBirth,140.0,7544,1
1,51.83,3.0,0.0,0,Healthcare,Latino,1.5,0.0,0.0,0.0,0.0,ByBirth,180.0,4,0
1,28.46,4.0,0.0,0,ConsumerDiscretionary,White,0.085,0.0,0.0,0.0,1.0,ByBirth,411.0,0,0
1,25.0,12.0,1.0,1,Financials,White,2.25,1.0,1.0,2.0,1.0,ByBirth,120.0,5,0
0,23.0,1.835,1.0,1,Research,Other,0.0,0.0,1.0,1.0,0.0,ByBirth,200.0,53,0
1,23.25,1.5,1.0,1,Materials,White,2.375,1.0,1.0,3.0,1.0,ByBirth,0.0,582,1
1,30.08,1.04,0.0,0,ConsumerDiscretionary,Asian,0.5,1.0,1.0,10.0,1.0,ByBirth,132.0,28,0
1,26.83,0.54,1.0,1,Financials,Latino,0.0,0.0,0.0,0.0,0.0,ByBirth,100.0,0,0
0,40.83,10.0,1.0,1,Materials,Black,1.75,1.0,0.0,0.0,0.0,ByBirth,29.0,837,1
1,38.25,10.125,0.0,0,Financials,White,0.125,0.0,0.0,0.0,0.0,ByBirth,160.0,0,0
1,,19.0,1.0,1,Healthcare,Latino,0.0,1.0,1.0,1.0,0.0,ByBirth,94.0,0,0
1,27.67,0.75,1.0,1,Materials,Black,0.165,0.0,0.0,0.0,1.0,ByBirth,220.0,251,0
1,19.42,1.5,0.0,0,InformationTechnology,White,2.0,1.0,0.0,0.0,1.0,ByBirth,100.0,20,0
0,23.58,0.83,1.0,1,Materials,White,0.415,0.0,1.0,1.0,1.0,ByBirth,200.0,11,0
1,28.25,5.04,0.0,0,Energy,Asian,1.5,1.0,1.0,8.0,1.0,ByBirth,144.0,7,1
1,27.83,1.54,1.0,1,Industrials,White,3.75,1.0,1.0,5.0,1.0,ByBirth,100.0,3,1
0,57.08,0.335,1.0,1,ConsumerDiscretionary,Asian,1.0,1.0,0.0,0.0,1.0,ByBirth,252.0,2197,0
1,42.5,4.915,0.0,0,Industrials,White,3.165,1.0,0.0,0.0,1.0,ByBirth,52.0,1442,1
1,26.17,0.835,1.0,1,InformationTechnology,White,1.165,0.0,0.0,0.0,0.0,ByBirth,100.0,0,0
1,19.42,7.25,1.0,1,CommunicationServices,White,0.04,0.0,1.0,1.0,0.0,ByBirth,100.0,1,0
1,19.17,0.0,0.0,0,CommunicationServices,Asian,0.0,0.0,0.0,0.0,1.0,ByOtherMeans,500.0,1,1
1,24.5,13.335,0.0,0,ConsumerStaples,White,0.04,0.0,0.0,0.0,1.0,ByBirth,120.0,475,0
1,20.17,8.17,1.0,1,ConsumerStaples,White,1.96,1.0,1.0,14.0,0.0,,60.0,158,1
1,22.58,1.5,0.0,0,ConsumerStaples,White,0.54,0.0,0.0,0.0,1.0,ByBirth,120.0,67,0
1,28.33,5.0,1.0,1,Industrials,White,11.0,1.0,0.0,0.0,1.0,ByBirth,70.0,0,1
0,22.67,0.79,1.0,1,ConsumerDiscretionary,White,0.085,0.0,0.0,0.0,0.0,ByBirth,144.0,0,0
0,26.17,2.0,1.0,1,Research,Other,0.0,0.0,0.0,0.0,1.0,ByBirth,276.0,1,0
1,19.0,1.75,0.0,0,Energy,White,2.335,0.0,0.0,0.0,1.0,ByBirth,112.0,6,0
1,42.83,1.25,1.0,1,CommunicationServices,White,13.875,0.0,1.0,1.0,1.0,ByBirth,352.0,112,0
0,21.75,1.75,0.0,0,Research,Other,0.0,0.0,0.0,0.0,0.0,ByBirth,160.0,0,0
1,27.42,12.5,1.0,1,ConsumerStaples,Asian,0.25,0.0,0.0,0.0,1.0,ByBirth,720.0,0,0
1,48.17,7.625,1.0,1,Industrials,Black,15.5,1.0,1.0,12.0,0.0,ByBirth,0.0,790,1
1,34.17,9.17,1.0,1,Energy,White,4.5,1.0,1.0,12.0,1.0,ByBirth,0.0,221,1
0,23.58,0.585,0.0,0,Healthcare,Latino,0.125,0.0,0.0,0.0,0.0,ByBirth,120.0,87,0
1,34.25,1.75,1.0,1,Industrials,Asian,0.25,1.0,0.0,0.0,1.0,ByBirth,163.0,0,0
1,32.08,4.0,1.0,1,CommunicationServices,White,2.5,1.0,0.0,0.0,1.0,ByBirth,360.0,0,1
1,59.67,1.54,1.0,1,Materials,White,0.125,1.0,0.0,0.0,1.0,ByBirth,260.0,0,1
1,25.33,0.58,1.0,1,Energy,White,0.29,1.0,1.0,7.0,1.0,ByBirth,96.0,5124,1
1,59.5,2.75,1.0,1,Industrials,White,1.75,1.0,1.0,5.0,1.0,ByBirth,60.0,58,1
1,23.08,2.5,1.0,1,Healthcare,Latino,0.085,0.0,0.0,0.0,1.0,ByBirth,100.0,4208,0
1,27.75,0.585,0.0,0,InformationTechnology,White,0.25,1.0,1.0,2.0,0.0,ByBirth,260.0,500,1
0,27.17,1.25,1.0,1,Healthcare,Latino,0.0,0.0,1.0,1.0,0.0,ByBirth,92.0,300,0
1,51.58,15.0,1.0,1,Energy,White,8.5,1.0,1.0,9.0,0.0,ByBirth,0.0,0,1
1,24.42,2.0,1.0,1,Education,Other,0.165,0.0,1.0,2.0,0.0,ByBirth,320.0,1300,0
